factory_id,factory_name,date,process,electricity_kwh,natural_gas_m3,diesel_litres,production_tonnes,raw_material_tonnes,waste_tonnes,recycled_tonnes,operating_hours,category
FAC_VAD_01,Apex PetroChem & Polymers Ltd,2023-01-01,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",5495.0,412.3,6.8,37.0,41.4,0.13319999999999999,0.0373,18.0,FACTORY_OPERATIONAL_DATA
FAC_VAD_01,Apex PetroChem & Polymers Ltd,2023-01-02,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",8754.0,663.1,0.0,55.6,63.4,0.21130000000000002,0.0528,24.0,FACTORY_OPERATIONAL_DATA
FAC_VAD_01,Apex PetroChem & Polymers Ltd,2023-01-03,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",6807.0,552.8,0.0,45.7,52.1,0.1737,0.0434,24.0,FACTORY_OPERATIONAL_DATA
FAC_VAD_01,Apex PetroChem & Polymers Ltd,2023-01-04,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",7232.0,473.9,0.0,45.7,52.1,0.1737,0.0434,24.0,FACTORY_OPERATIONAL_DATA
FAC_VAD_01,Apex PetroChem & Polymers Ltd,2023-01-05,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",6248.0,514.1,0.0,42.9,48.9,0.163,0.040799999999999996,24.0,FACTORY_OPERATIONAL_DATA
FAC_VAD_01,Apex PetroChem & Polymers Ltd,2023-01-06,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",6396.0,466.9,0.0,40.9,46.6,0.1554,0.0389,24.0,FACTORY_OPERATIONAL_DATA
FAC_VAD_01,Apex PetroChem & Polymers Ltd,2023-01-07,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",6540.0,537.3,282.5,45.3,51.6,0.1721,0.043,24.0,FACTORY_OPERATIONAL_DATA
FAC_VAD_01,Apex PetroChem & Polymers Ltd,2023-01-08,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",5234.0,399.8,46.1,36.5,40.9,0.13140000000000002,0.0368,18.0,FACTORY_OPERATIONAL_DATA
FAC_VAD_01,Apex PetroChem & Polymers Ltd,2023-01-09,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",6361.0,502.2,0.0,42.9,48.9,0.163,0.040799999999999996,24.0,FACTORY_OPERATIONAL_DATA
FAC_VAD_01,Apex PetroChem & Polymers Ltd,2023-01-10,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",6930.0,587.0,0.0,48.0,54.7,0.1824,0.0456,24.0,FACTORY_OPERATIONAL_DATA
